"species" "uvalue"
"552" "Koeleria macrantha" NA
"553" "Laburnum anagyroidis" NA
"554" "Lactuca alpina" NA
"555" "Lactuca muralis" -0.0978
"556" "Lactuca quercina" -0.3983
"557" "Lactuca serriola" 1
"558" "Lactuca viminea" NA
"559" "Lamium album" NA
"560" "Lamium galeobdolon" -0.000499999999999999
"561" "Lamium maculatum" 0.0861
"562" "Lamium orvala" -0.5711
"563" "Lamium purpureum" NA
"564" "Lamium spec." NA
"565" "Lapsana communis" 0.1256
"566" "Laser trilobum" NA
"567" "Laserpitium latifolium" NA
"568" "Lathraea squamaria" -0.768
"569" "Lathyrus laevigatus" NA
"570" "Lathyrus latifolius" NA
"571" "Lathyrus linifolius" -0.4528
"572" "Lathyrus niger" -0.3006
"573" "Lathyrus pannonicus" NA
"574" "Lathyrus pratensis" NA
"575" "Lathyrus sylvestris" NA
"576" "Lathyrus venetus" NA
"577" "Lathyrus vernus" -0.2008
"578" "Ledum palustre" NA
"579" "Leersia oryzoides" NA
"580" "Lemna aequinoctialis" NA
"581" "Lemna minor" 1
"582" "Lemna trisulca" NA
"583" "Leontodon hispidus" -0.3945
"584" "Leonurus cardiaca" NA
"585" "Leopoldia comosa" NA
"586" "Leopoldia tenuiflora" NA
"587" "Lepidium campestre" NA
"588" "Lepidium draba" NA
"589" "Leucanthemum rotundifolium" NA
"590" "Leucanthemum sylvaticum" NA
"591" "Leucanthemum vulgare" NA
"592" "Leucojum vernum" 0.0051
"593" "Ligustrum vulgare" -0.0783
"594" "Lilium martagon" -0.2159
"595" "Limodorum abortivum" NA
"596" "Limonium gmelinii" NA
"597" "Linaria angustissima" NA
"598" "Linaria biebersteinii" NA
"599" "Linaria genistifolia" NA
"600" "Linaria repens" NA
"601" "Linaria vulgaris" 0.0666
"602" "Linum catharticum" NA
"603" "Lipandra spec." NA
"604" "Lithospermum officinale" NA
"605" "Lolium giganteum" -0.2482
"606" "Lolium perenne" NA
"607" "Lolium pratense" NA
"608" "Lonicera alpigena" 0.3108
"609" "Lonicera nigra" NA
"610" "Lonicera periclymenum" 0.3542
"611" "Lonicera xylosteum" -0.1981
"612" "Lotus corniculatus" NA
"613" "Lotus dorycnium" NA
"614" "Lunaria rediviva" 0.2591
"615" "Luzula campestris" 0.0073
"616" "Luzula divulgata" NA
"617" "Luzula forsteri" -0.1474
"618" "Luzula luzulina" NA
"619" "Luzula luzuloides" -0.3152
"620" "Luzula multiflora" 0.132
"621" "Luzula pallescens" NA
"622" "Luzula pilosa" -0.3385
"623" "Luzula sylvatica" -0.2406
"624" "Lycopus europaeus" 0.1321
"625" "Lysimachia europaea" 0.0829
"626" "Lysimachia nemorum" -0.0583
"627" "Lysimachia nummularia" -0.2421
"628" "Lysimachia punctata" NA
"629" "Lysimachia thyrsiflora" 0.5843
"630" "Lysimachia vulgaris" -0.0789
"631" "Lythrum portula" NA
"632" "Lythrum salicaria" 0.2325
"633" "Lythrum virgatum" NA
"634" "Maianthemum bifolium" -0.0482
"635" "Malus pumila" NA
"636" "Malus spec." NA
"637" "Malus sylvestris" 0.3876
"638" "Malva sylvestris" NA
"639" "Malva thuringiaca" NA
"640" "Medicago falcata" NA
"641" "Medicago lupulina" NA
"642" "Melampyrum cristatum" -0.487
"643" "Melampyrum nemorosum" -0.5849
